Question,Integral Response,Attachment(s),Control Observations/Comments,Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,
"SD001: Does your company have a Software Development Lifecycle (SDLC) Policy or Standard that is implemented for all development phases? 

If yes, please attach.
Artifact Required: Software Development Life Cycle (SDLC) Policy

Design Elements:
1. Requirement gathering and analysis phase
2. Secure architecture analysis and design phase (If applicable, external application only)
3. Coding phase
4. Testing phase (Development, QA, and UA)
5. Deployment phase
6. Information security requirements",Yes,Integral Engineering and QA Process V7.0.pdf [Stage 5](file),Engineering and QA process are defined.,"Integral Development Corporation does have a software development lifecycle (SDLC) policy that is implemented for all development phases in place.

The engineering and QA process are defined.

The following design elements are in place:
1. Requirement gathering and analysis phase
    Integral Engineering and QA Process V7.0.pdf [Stage 5] - Page 3, Section Process Overview

2. Secure architecture analysis and design phase (If applicable, external application only)
    Integral Engineering and QA Process V7.0.pdf [Stage 5] - Page 5, Section Solution Design 

3. Coding phase
    Integral Engineering and QA Process V7.0.pdf [Stage 5] - Page 4, Section Planning

4. Testing phase (Development, QA, and UA)
    Integral Engineering and QA Process V7.0.pdf [Stage 5] - Page 5, Section Development and Testing 

5. Deployment phase
    Integral Engineering and QA Process V7.0.pdf [Stage 5] - Page 5, Section Development and Testing 

6. Information security requirements
    Integral Engineering and QA Process V7.0.pdf [Stage 5] - Page 11




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
Integral Engineering and QA Process V7.0.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD002: Does your SDLC program include a requirement to formally track software bugs and issues identified in application code?
",Yes,,Engineering and QA process are defined.,"Integral Development Corporation does include a requirement in its SDLC program to formally track software bugs and issues identified in application code



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD003: Are all applications subjected to a ""toll gating"" process or system, that prevents application code from moving to the next stage of the development lifecycle if any outstanding security issues are present?

If no, please describe the exception or escalation criteria/process.
",Yes,,Engineering and QA process are defined.,"Integral Development Corporation does have a ""tollgating"" process or system, that prevents application code from moving to the next stage of the development lifecycle if any outstanding security issues are present in place.

Through inquiry, Integral escalation process goes through a ticket that must be submitted through Zendesk for any escalations. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD004: Does your company require a secure architecture analysis to be performed as a part of the SDLC (e.g., one or more of the three activities: secure feature review, secure architecture design review, or threat modeling)?

If yes, please describe when a secure architecture analysis is required.
Artifact Required: Example of a secure feature review, secure architecture design review, or threat modeling exercise completed in the last 12 months.

Design Elements:
1. Secure architecture analysis was formally documented
2. Secure architecture analysis was completed by Software Security Group, Software architect, or individual with secure architecture expertise.",Yes,Secure Architecture Analysis(private),,"Integral Development Corporation does require a secure architecture analysis to be performed as a part of the SDLC (e.g., one or more of the three activities: secure feature review, secure architecture design review, or threat modeling).



The following design elements are in place:
1. Secure architecture analysis was formally documented
    Secure Architecture Analysis - Completed 6/17/2

2. Secure architecture analysis was completed by Software Security Group, Software architect, or individual with secure architecture expertise.
    Secure Architecture Analysis -  Completed by Engineering Team


Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Secure Architecture Analysis - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD005: Does your company ensure that depictions and descriptions of an application's (and its components') security architecture, including data flows, covers minimum security design concerns?
",Yes,,,"Integral Development Corporation does ensure that depictions and descriptions of an application's (and its components') security architecture, including data flows, covers minimum security design concerns.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD006: Does your company ensure that developers (employees and subcontractors) complete formal software development security training (e.g., OWASP top 10) which assists in preventing the introduction of security vulnerabilities? 

If yes, please describe how often training is required.
Artifact Required:  Screenshot of a developer's completion of secure code training",Not Applicable,,Training on security aspects are need basis.,"Integral Development Corporation does ensure that developers (employees and subcontractors) complete formal software development security training (e.g., OWASP top 10) which assists in preventing the introduction of security vulnerabilities.

Developers are provided training annually. 

The assessor observed an example developer training course and validated that OWSAP Top 10 training was provided on 4/27/21.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, observation of evidence and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
OWASP Top 10 Training - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD007: Does your company require secure source code reviews using a checklist or other mechanism used  to ensure consistency? 

If yes, please describe when secure code reviews are required.
Artifact required:  Security Code Review checklist example",Yes,Integral Engineering and QA Process V7.0.pdf [Stage 5](file),Integral practices secure source code reviews using a checklist and tools to ensure consistency. Best practices for programming are followed. Code reviews are required during all stages of development. ,"Integral Development Corporation does require secure source code reviews using a checklist or other mechanism used to ensure consistency.

Best practices for programming are followed. All code review checks occur manually by the engineering team. Code reviews are required during all stages of development. 

The assessor observed a completed code review checklist within Jira and validated that a peer review was completed. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, observation of evidence, inspection of evidence and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
Code Review Checklist - Documents were not retained but inspected and validated remotely.
Integral Engineering and QA Process V7.0.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD008: Does your company perform automated code scanning (e.g., static/dynamic analysis) as part of the SDLC?

If yes, please describe the tools used and when they are used in the SDLC phases.
Artifact Required: Example of a recent pre- and post-compile code scan results of an application. (Provide examples of any scanning required by the SDLC program.)",Yes,Integral Engineering and QA Process V7.0.pdf [Stage 5](file),customized automation suits are used for testing. Jenkins BAT tests are run for daily engineering builds.,"Integral Development Corporation does perform automated code scanning (e.g., static/dynamic analysis) as part of the SDLC.

Customized automation suits are used for testing. Jenkins BAT tests are run for daily engineering builds.

The assessor observed an example Jenkins dynamic and static code scan and validated that pre and post scans were ran and reviewed.

Assessor work steps: 
The assessor's comments were completed through inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
Jenkins Code Scan - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD009: Does your company have a process to ensure account credentials are not stored in system or application code?  

If yes, please describe the processes and tools used.
",Yes,,Production data is obfuscated before using in the QA environment for testing.,"Integral Development Corporation does have a process to ensure account credentials are not stored in system or application code in place.

Integral has a process in place to ensure account credentials are not stored in application code, all user credentials are obfuscated or scrubbed. This would be identified during code reviews.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD010: Does your company have a procedure or requirements for the management and usage (including recertification) of open source code within in-house developed applications that require testing and approval pre-implementation?
",Yes,,,"Integral Development Corporation does have a procedure or requirements for the management and usage (including recertification) of open source code within in-house developed applications that require testing and approval pre-implementation in place.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD011: Does your company have version control tools or methods to manage, store, and secure source code?

If yes, please describe the tools or methods employed.
",Yes,,svn is used for code configuration and storing.,"Integral Development Corporation does have version control tools and/or methods to manage, store, and secure source code in place.

Subversion (Svn) is used for code configuration and repository. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD012: Does your company sanitize production data of any personal or confidential information, using methods which will not allow sensitive information to be disclosed, before using it in non-production environments? 

If yes, please describe sanitization methods used.
",Yes,,Production data is obfuscated before using in the QA environment for testing.,"Integral Development Corporation does sanitize production data of any personal or confidential information, using methods which will not allow sensitive information to be disclosed, before using it in non-production environments.

Production data is obfuscated before using in the QA environment for testing. Integral utilizes a custom built data scrubbing tool. 

Validated through inquiry, confidential data is not used in non-production environments. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD013: Does your company confirm that developers are denied access to deploy code into production environments for all applications? 

If no, describe controls in place to approve, log, and monitor developer access while in production?
Required Validation: Observe role-based access (access control lists) controls that demonstrates that developers do not have access to deploy code into production.

Design Elements:
1.  Process is in place to log and monitor all developer activity while in production.
2.  Exception process exists to allow for access that is tracked and is time bound.",Yes,03-10 Access Rules.jpg [Stage 5](file),,"Integral Development Corporation does confirm that developers are denied access to deploy code into production environments for all applications.

Integral developers do not have access to production environments. 

The following design elements are in place:
1.  Process is in place to log and monitor all developer activity while in production.
    03-10 Access Rules.jpg [Stage 5] - Page 1


The following design elements are not applicable:
2.  Exception process exists to allow for access that is tracked and is time bound. - Exceptions are not permitted

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
03-10 Access Rules.jpg [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD014: Does your company prevent caching of pages containing personal information?
",Yes,,,"Integral Development Corporation does prevent caching of pages containing personal information.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD015: Is HTTPS enabled for all web pages used as part of the control environment?
",Yes,,,"Integral Development Corporation does have HTTPS enabled for all web pages used as part of the control environment.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD016: Does your company encrypt or secure communication between the application/browser  and your back end?
",Yes,,,"Integral Development Corporation does encrypt or secure communication between the application/browser and its back end.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD017: Are your applications developed to ensure that data is not at risk for exfiltration?
",Yes,,,"Integral Development Corporation does develop applications to ensure that data is not at risk for exfiltration.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"SD018: Does your company maintain availability, in escrow, of source code, critical files, encryption keys, and software utilized for critical applications?
",Not Applicable,,All source code is owned by Integral.,"Integral Development Corporation does maintain availability, in escrow, of source code, critical files, encryption keys, and software utilized for critical applications.



This is an informational only question.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,